SMILES,Rg
*CCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,21.46640792
C(C(=O)OCCC*)CCCCCCCCCCCCCCCC(O*)=O,21.46640792
C(*)CCOC(=O)CCCCCCCCCCCCCCCCC(O*)=O,21.46640792
C(CCCC(O*)=O)CCCCCCCCCCCCC(OCCC*)=O,21.46640792
C(CCCCCCCCCCCCCC(=O)OCCC*)CCC(O*)=O,21.46640792
C(CCCCCCCCCCCC(=O)OCCC*)CCCCC(=O)O*,21.46640792
C(CCCCCCC(O*)=O)CCCCCCCCCC(=O)OCCC*,21.46640792
C(*)CCOC(CCCCCCCCCCCCCCCCC(=O)O*)=O,21.46640792
*OC(=O)CCCCCCCCCCCCCCCCC(=O)OCCC*,21.46640792
O=C(OCCC*)CCCCCCCCCCCCCCCCC(O*)=O,21.46640792
C(CCCCCCCCCCCC(=O)OCCC*)CCCCC(O*)=O,21.46640792
*CC(*)C(=O)C(C)C,12.63604574
C(C(=O)C(C*)*)(C)C,12.63604574
CC(C)C(=O)C(*)C*,12.63604574
C(C)(C)C(C(*)C*)=O,12.63604574
C(C(C)C)(=O)C(*)C*,12.63604574
CC(C(C(C*)*)=O)C,12.63604574
CC(C(C(*)C*)=O)C,12.63604574
C(C)(C)C(=O)C(C*)*,12.63604574
*C(C(C(C)C)=O)C*,12.63604574
C(C(C(C*)*)=O)(C)C,12.63604574
C(C)(C(=O)C(*)C*)C,12.63604574
*CC(*)c1ccc(COCC(CC)CCCC)cc1,11.12376829
CCCCC(COCc1ccc(C(*)C*)cc1)CC,11.12376829
CCC(CCCC)COCc1ccc(C(C*)*)cc1,11.12376829
c1cc(COCC(CCCC)CC)ccc1C(*)C*,11.12376829
c1(COCC(CCCC)CC)ccc(cc1)C(C*)*,11.12376829
O(Cc1ccc(C(C*)*)cc1)CC(CCCC)CC,11.12376829
c1(C(C*)*)ccc(COCC(CC)CCCC)cc1,11.12376829
*C(C*)c1ccc(COCC(CC)CCCC)cc1,11.12376829
c1cc(C(*)C*)ccc1COCC(CCCC)CC,11.12376829
c1(ccc(COCC(CCCC)CC)cc1)C(C*)*,11.12376829
C(C(CCCC)CC)OCc1ccc(C(*)C*)cc1,11.12376829
*CC(*)C1=CC=C(COCC(CC)CCCC)C=C1,11.12376829
*CC(*)(C)C(=O)OCCCCn1c2ccccc2c2ccccc21,11.45732375
C(CCCn1c2ccccc2c2c1cccc2)OC(=O)C(C*)(C)*,11.45732375
C(*)C(*)(C(OCCCCn1c2c(cccc2)c2ccccc12)=O)C,11.45732375
c12ccccc2n(CCCCOC(=O)C(C*)(C)*)c2c1cccc2,11.45732375
C(=O)(OCCCCn1c2ccccc2c2ccccc12)C(C)(*)C*,11.45732375
C(C)(*)(C*)C(OCCCCn1c2ccccc2c2c1cccc2)=O,11.45732375
*CC(C)(*)C(=O)OCCCCn1c2ccccc2c2ccccc12,11.45732375
C(*)(C(OCCCCn1c2c(c3ccccc31)cccc2)=O)(C*)C,11.45732375
c12ccccc2n(CCCCOC(C(C)(C*)*)=O)c2c1cccc2,11.45732375
CC(C(OCCCCn1c2c(cccc2)c2ccccc12)=O)(C*)*,11.45732375
CC(*)(C(=O)OCCCCn1c2c(c3c1cccc3)cccc2)C*,11.45732375
*CC(*)(C)C(=O)OCCCCN1C2=CC=CC=C2C2=CC=CC=C21,11.45732375
*CC(*)(Cl)C(=O)OCCCC,13.37410592
